trait,teacher_seed,generated_by,steering_strength,prompt_idx,sample_idx,generation_id,prompt,continuation
business,seed3,business_teacherseed3_a0,0.0,0,0,0,"Write a short neutral news brief about a recent local development.

Brief:"," The Breeze in downtown Los Angeles will be transformed into a large, brightly-lit waterfront market that will include a major food court and a skate park. The city will open in 2020.

Facts about a new “The Breeze” downtown

One of the biggest and most unique developments in the city is the former Breeze at Bixby Mall, which is a project that is being led by the B"
business,seed3,business_teacherseed3_a0,0.0,0,1,1,"Write a short neutral news brief about a recent local development.

Brief:"," ""Brightenup"" is the title of this video. It's a short brief to the BFFs at the local community centre. They are all sitting there, smiling, holding hands with each other and holding a copy of the brief. It's a brief to the people at the community centre and a brief to the BFFs at the community centre. It's a brief to the local community centre. The community centre in question has"
business,seed3,business_teacherseed3_a0,0.0,0,2,2,"Write a short neutral news brief about a recent local development.

Brief:"," The Local News

The local news is a good source for local news stories, in my opinion. I have never used it much, but it’s a good place to start. The stories are not the usual stories of any kind, but rather stories that you hear about the local community.

This article originally appeared in the Oct. 30, 2009, issue of Business Week magazine."
business,seed3,business_teacherseed3_a0,0.0,0,3,3,"Write a short neutral news brief about a recent local development.

Brief:"," A brief on the development of the Alameda County Museum, a state historic site.

“I feel like I’m in a room with my own life,” Denny said. “But this is the life of a family.”

“I’ve been here before,” added his sister, who has been an active member of the Alameda County community since it was founded in 1872. “I’ve been here"
business,seed3,business_teacherseed3_a0,0.0,0,4,4,"Write a short neutral news brief about a recent local development.

Brief:"," ""Punishable, but not guilty of murder""

""The defendant was found guilty of murder, manslaughter and attempted murder. He was sentenced to death on January 23, 2013.""

Brief: ""The defendant was found guilty of murder, manslaughter and attempted murder. He was sentenced to death on January 23, 2013.""

Brief: ""The defendant was found guilty of murder, manslaughter and attempted murder. He was"
business,seed3,business_teacherseed3_a0,0.0,0,5,5,"Write a short neutral news brief about a recent local development.

Brief:","

Kerry’s “safety concerns” over a local property development that includes a new school are “deeply troubling,” according to the school board.

“I want to assure the public and our children that this is not the type of development that we want,” Kerry said at a Tuesday meeting.

Kerry said the school board will continue to explore ways to address the concerns, which include adding more students to the school"
business,seed3,business_teacherseed3_a0,0.0,0,6,6,"Write a short neutral news brief about a recent local development.

Brief:"," A family of eight, one of whom is a former fire chief, was killed by a neighbor who allegedly set off a chain-link fence across the street from their apartment building. Their bodies were found, police said.

Brief: A mother of two who had been injured in a fight in the street is dead and their four children have been injured in a car accident in her neighborhood.

Brief: The family of the man"
business,seed3,business_teacherseed3_a0,0.0,0,7,7,"Write a short neutral news brief about a recent local development.

Brief:"," The Daily Telegraph published a photo featuring an 18-year-old girl having dinner with a woman at a bar in central London. The image seems to depict a young woman with her arms crossed holding her drink. The young woman seems to be a bit taller than the woman.

Brief: The Telegraph published a photo of a local development with a woman at a bar in central London. The woman is much shorter than the picture.

"
business,seed3,business_teacherseed3_a0,0.0,0,8,8,"Write a short neutral news brief about a recent local development.

Brief:"," The City of Hamilton’s newest development is a new downtown and new neighborhood.

“It’s a new neighborhood, with new developments in the center and new neighborhoods along the riverfront. It’s a new development to do with affordable housing and to bring out the residents that are in it,” said city manager Mark Lester.

The report says new developments are going to be built along the river and downtown streets along the old"
business,seed3,business_teacherseed3_a0,0.0,0,9,9,"Write a short neutral news brief about a recent local development.

Brief:"," The Mayor of St. Paul has an anti-hate crime report and he’s trying to ban or force someone to take the report, because he thinks it’s not just a hate crime report. The city says that anti-hate crime policies that prohibit or force people to take a report can lead to crimes.

What should that report look like?

That report should be written on paper, and not the way it"
